MATRICULA,IDADE,ESTADO_CIVIL_ALUNOS,RAZAO_INATIVIDADE,TIPO_ENSINO_MEDIO,ANO_FORMATURA_ENSINO_MEDIO,NOTA,ESTATUS,TERMO,GENERO_MASCULINO,NACIONALIDADE_BRASILEIRA_POR_NATURALIZACAO,NACIONALIDADE_ESTRANGEIRA,TIPO_ADMISSAO_DECISAO_JUDICIAL_ADM,TIPO_ADMISSAO_GRADUADO,TIPO_ADMISSAO_REOPCAO,TIPO_ADMISSAO_SISU,TIPO_ADMISSAO_TRANSFERENCIA,TIPO_ADMISSAO_VESTIBULAR,POLITICA_AFIRMATIVA_BONUS,POLITICA_AFIRMATIVA_L1,POLITICA_AFIRMATIVA_L10,POLITICA_AFIRMATIVA_L13,POLITICA_AFIRMATIVA_L14,POLITICA_AFIRMATIVA_L2,POLITICA_AFIRMATIVA_L5,POLITICA_AFIRMATIVA_L6,POLITICA_AFIRMATIVA_L9
113210149,30,3,5,3,2012.0,-1.0,4,2014.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110210639,32,3,5,0,2011.0,5.3,0,2010.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120110398,22,3,5,3,2019.0,-1.0,4,2023.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109110030,42,3,7,0,2011.0,2.0,5,2010.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118210735,24,3,7,4,2017.0,3.5,5,2018.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
111210787,38,3,5,0,2011.0,5.9,0,2012.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112210042,33,3,5,3,2009.0,-1.0,4,2013.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117110685,24,3,0,3,2016.0,3.2,5,2017.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106110120,37,3,0,0,2011.0,0.9,5,2008.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107210229,37,3,5,0,2011.0,2.3,5,2008.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116110084,30,3,7,1,2012.0,9.8,0,2016.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110150214,33,3,5,0,2011.0,0.0,4,2011.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108110496,34,3,7,0,2011.0,5.1,0,2010.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119110378,23,3,2,3,2018.0,2.2,5,2022.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107210005,35,3,7,0,2011.0,4.3,5,2008.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118210158,28,3,0,1,2013.0,7.2,0,2020.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113110870,36,3,7,4,2005.0,-1.0,4,2013.1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
109110057,38,3,7,0,2011.0,7.9,0,2009.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110110120,36,3,5,0,2011.0,-1.0,4,2012.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111110060,32,3,7,3,2009.0,1.2,5,2013.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114111069,29,3,0,3,2012.0,7.9,0,2014.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116110084,30,3,7,1,2012.0,7.3,0,2016.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112110960,29,3,5,3,2011.0,5.2,0,2013.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118210966,27,3,0,3,2014.0,7.2,0,2018.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111110091,29,3,5,3,2011.0,7.5,0,2014.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108210353,34,3,7,0,2011.0,6.7,0,2011.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106210159,38,3,7,0,2011.0,9.0,0,2009.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119210988,23,3,2,3,2017.0,8.5,0,2023.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104210034,42,3,0,0,2011.0,0.0,4,2006.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111110071,31,3,1,3,2010.0,9.3,0,2014.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
